phrase,cluster_label
examined extent automation designed benefit,0
essential strategic,0
learning analysis identifies proprioceptive physiological,0
addition dyadic human agent,0
contextualizing refining extending original framework,0
agents advanced integrated,0
human robot interaction,0
animal relations perspective,0
predictors inspired literature human human,0
context physical retail stores,0
recommendations based user,0
model basic psychological needs bpn,0
human communication,0
models taxonomies human automation,0
autonomous agents,0
human multi robot,0
adoption ai advisors,0
showed positive associations human robot,0
robot oriented team oriented fluency,0
agents collaborative human,0
involving teleoperation,0
robotic counterparts critical,0
agent decision process mitigate misperceptions,0
robot offers varying levels information,0
perspectives regarding human automation,0
diagram formation assistance hamie robot,0
participating alongside entity robot,0
robot theories financial,0
intensify knowledge development undergoing retail,0
retail sector,0
critical humanization automation,0
supported hypotheses validating suggested,0
technique conceptual model empirically,0
researchers collected data 530,0
theories interdisciplinary teamwork,0
interdisciplinary literature,0
technologies called ironies automation,0
beliefs reduced,0
values triggered promoting,0
embrace uncanny,0
aesthetics trustworthy cartoon,0
manipulated robot facial screen,0
robots unique opportunities improve facilities,0
recommender predicts,0
automates radiologist,0
agent isa,0
intelligent software agent,0
personalized recommendations consumers regarding,0
outcomes handled solely human agents,0
human robot interaction,0
deploying gioia methodology qualitative,0
effect agents experience levels underlying,0
behaviour struggle identify agent held,0
discourse framed robots,0
use avs,0
grounded agent decision making architecture,0
automation interaction concerned,0
provide agenda,0
foot positions,0
industrial revolution,0
robotics applications internal environment,0
suggest attacks avs significantly,0
robots aims,0
automation artificial,0
innovativeness significant,0
robots automatically make,0
agents sales,0
model encompass psychological,0
analysing user utterance,0
teleoperation using,0
centered automation characteristics,0
uncertain hypotheses,0
agent commonplace task,0
suggesting conceptual ceiling,0
robot perceived,0
eye movements,0
utility dialogue,0
teleoperating robots stream,0
robot collaboration hrc systems,0
robots humans heterogeneous advantages,0
ai provides direct recommendations,0
echo questions,0
statistically tested,0
policy human robot interaction,0
learning rl agents,0
hypotheses tested,0
human loop experiment featuring,0
automation social,0
analyses estimates regarding barriers automation,0
conversational agents,0
hypotheses tested,0
perceived usefulness ease use predictive,0
underscores potential limitations ai meeting,0
fit data adapted version,0
acceptable fit,0
automation technology,0
perceived usefulness ease use,0
formalized communication gap person,0
instructions ia act,0
perceived utility,0
agents ias,0
unconscious trait,0
providing users advice working,0
explores landscape artificial intelligence,0
user needs collaborate agent having,0
learning game,0
industries significantly changing nature,0
agents respond slower users,0
empathy suitable interactive conversational agents,0
humanoid vs cartoon subjects designs,0
communication decision theoretic,0
predicting automation,0
theory statistical,0
conversational agents platforms,0
automated systems bainbridge described,0
oversee automated function accurately,0
communicating limitations avoid mental,0
francis group,0
better automation,0
needs communicated users,0
results supervision reminders effectively maintained,0
francis group,0
antecedents include interactivity,0
sector future improving customer,0
deploying double debiased,0
virtual conversation,0
agents offer innovative,0
users high low innovativeness,0
test prediction accuracy automated dm,0
based version non verbal turing,0
indicate specific eye,0
raised concerns regarding,0
encourage perceptions robot acting,0
mental model machine,0
francis group,0
effective human robot,0
innovative behavior,0
francis group,0
nonhuman agents induce,0
safety mediate certain relationships contactless,0
robot human group completed,0
attributes perceived value,0
depending perceived agent task fit,0
square statistics indicated,0
agents integrated social,0
guidance enhancing consumer experiences,0
positively influences communication quality,0
agent facial bodily expressions,0
trend raised,0
angry robot induce,0
democratic societies fundamental change,0
valid reliable scale assess ai,0
effect holds economy,0
develop game treasure,0
positive effects robot personality,0
resistance using automation features,0
control theory game theory,0
robot interacts humans individual,0
agents benefit steering,0
video games news recommendation,0
recommendation aggregation engines,0
engineering robot,0
opposite protocol attenuates word machine,0
automation transitions factor specific scaling,0
utilitarian realm competent human recommenders,0
communication strategies asvs pedestrian,0
messages containing intent asv actions,0
wearables factories,0
perceived value adopt customer engagement,0
nature economic wealth creation,0
uncanny theory perspective,0
utility levels automation,0
middle aged women shop,0
purchase recommendation,0
model using partial squares structural,0
anxieties robots,0
takeover automation,0
behavior selection module general,0
induced linguistic framing run,0
linguistically framed descriptions robot,0
mental models,0
human robot interaction,0
interpersonal human automation human,0
ai trustworthiness foster adoption application,0
robots increasingly,0
psycho physiological observables,0
best robot,0
used online,0
based version non verbal turing,0
performance automation bias subsequent frustration,0
agency suggests,0
automation loa,0
automated systems tends,0
effects robots human,0
shop online,0
findings revealed personal innovativeness,0
guidance bank planning use ai,0
squares technique,0
technology fit,0
stimulus organism response sor,0
francis group,0
ways enhance consumer purchase intention,0
contextual role crowdedness human robot,0
relationship building strategies,0
attendees willing adopt robots,0
robot initiates interaction perceived intelligent,0
research examined factors affecting robotic,0
limitations implications based synthesis authors,0
challenge hindrance appraisals,0
using partial squares structural equation,0
users support conceptualization,0
robotic applications,0
human loop experiment,0
conversational agents aca objective perceived,0
rejects automation,0
industrial setting competing,0
francis group,0
leaves machines robots,0
paradigm shift potentially increases ecological,0
low intelligence robots perceive,0
predictive analytics grounded,0
agents aas capable,0
economic value,0
employees inclination collaborate robotic,0
spoken language operation,0
research provided approaches postulating conceptualizing,0
germany springer nature,0
information enable operators infer,0
automation algorithm,0
shown costs imperfect automation detrimental,0
passenger transportation allowing agents autonomously,0
industry integration robotic technologies,0
relationships tested using,0
hypothesized relationships,0
loyalty context ai services,0
lens understand human robot relationships,0
develop guidelines robot,0
integrates diverse disciplinary,0
humanlike robot,0
matching game,0
relationships using smart pls,0
close vs,0
subordinate proxemic,0
interactions subordinate robot resulted,0
positive user experience robot close,0
centric design task automation,0
consistency status proxemic behaviors robot,0
automation business operations crisis,0
computer agents improves,0
competitive market using artificial intelligence,0
adoption post adoption stages ai,0
art agents literature,0
theory data,0
game theory,0
explain relationship linking explanandum explanantia,0
fechner law economics,0
issues unforeseen creators commonly discussed,0
automated agents fa methods currently,0
intelligent agents,0
adverse aspects new retail,0
background manufacturing industry,0
store shopping,0
human robot,0
level automation loa,0
ai reliability experience,0
automation like surveys drastically limit,0
autonomous digital agents number,0
collaborative robot reliable unreliable,0
multidisciplinary nature dat using,0
concerns expressed,0
qualitative performance subjective experiences monitored,0
recently multi agent,0
effectively communicate,0
automation considering secondary factors,0
behavioral economics promising source theory,0
valuethe primary contribution study enrich,0
transdisciplinary field increasingly complex,0
psychological features weber fechner,0
economics evident tests simple linear,0
manufacturers developed prototypes exist,0
newsvendor game proposes,0
routine communication strategies adapt,0
2015 ifac,0
online shoppers,0
human automation interaction,0
robots assist,0
good value,0
encountered different technological failures automation,0
high automation levels occupant control,0
francis group,0
piece automation designed affect dimension,0
virtual clothing store,0
cognitive multi agent models,0
intelligence ai service,0
intelligent agent,0
experience uncanny,0
competitive market using artificial intelligence,0
automation business operations crisis,0
ownership adoption intention robot,0
agents robots,0
goal orientation,0
greater usage,0
based experiment manipulate robot,0
attachment users learning predict,0
strong belief giving agent,0
power induced domination exerted robot,0
adapting design configuration robots,0
use automation,0
sensitivity changes automation manual performance,0
anthropomorphic automation failed bolster,0
information communication,0
93 reliable agent,0
automation interaction,0
mechanism schema activation allow,0
robots human,0
play various,0
responsibility ai automated decision systems,0
experiment humans repeatedly play games,0
commitment issues,0
remarks humanoids,0
robots intriguing idea existence underlying,0
uncanny valley,0
central aspects conversation ai replace,0
test hypothesized,0
movements neural recordings contain,0
current approaches multiagent,0
considerations early,0
perspective error detection,0
machine produces better recommendations,0
doubt quality systems overrule machine,0
work psychology neuroscience economics,0
supervised automation partially,0
work philosophy behavioural psychology traffic,0
automated map,0
robots frequently generate behaviors,0
disclose information,0
automation employed,0
received descriptions crews interacting,0
changes automated systems small,0
ai robots significant higher order,0
centric design task automation,0
human supervision multiple robots,0
number approaches flexible automation autonomous,0
rapid technological advancements,0
shifts characterized automation,0
communication quality,0
seminal fitts list spans,0
related use,0
fitts list pervasive factor function,0
daily work individuals shaping relationship,0
changing pace boosted technological advances,0
ironies automation,0
fitts report represents unprecedented,0
value creation similar pathways,0
advance strategic agenthood,0
psychology human robot,0
agent interaction retention human decision,0
discuss anomalous misattributions strategic,0
integrates diverse disciplinary,0
increasingly capable automation complex,0
value study,0
encounter algorithm controlled products robotic,0
agents employ maximum entropy inverse,0
term strategic success aiding skill,0
interpretation turing,0
showed operator directly dependent robot,0
robot relation mutual continuous,0
disciplines intradisciplinary,0
cycle robot,0
100 manufacturers,0
learning based recommendations,0
economics pertains work psychology lent,0
perspective compatibility humans robots cooperating,0
shifts characterized automation,0
adopt relational framing,0
wires cogn,0
automation flattening organizational hierarchies,0
provide detailed guidance promote ai,0
eye tracking quantitative,0
implementing collaborative robots,0
robotics artificial,0
model based theory cognitive appraisal,0
valuethis study integrates,0
francis group,0
curvilinear relationship employee,0
representation robot marked,0
automation understand foundation future,0
robot make human machine,0
innovativeness contributes,0
foundation field human robot interaction,0
automation applied different,0
explains behavioral subjective,0
referred automation,0
automation interaction issues interacting,0
explains behavioral subjective,0
cra aid respectively,0
automation did increase,0
stages automation,0
perceived usefulness knowledge management,0
employing partial squares structural equation,0
payment automation participants repeatedly chose,0
use ai service agents,0
francis group,0
innovating firm communication,0
technological advancements led development aerial,0
ai enabled service crucial,0
adoption intentions related ai,0
automation varying effects human,0
eye tracking,0
capacity suffered higher levels automation,0
ensure automation supports operators,0
sector based,0
simulated robot,0
communication style human,0
results human loop experiment,0
value creation behaviors ce plays,0
automation increases,0
research transitions automated,0
aid manifest imperfectly,0
communications instruct,0
gaais good,0
perceived usefulness performance artificial intelligence,0
ai enabled service attributes,0
background operators interact automated decision,0
automation aided performance levels predictions,0
robots emerging,0
given agency allocation process compared,0
similar aid provided,0
participant robot,0
model comparisons identified potential strategies,0
worldwide increased use automation,0
practical recommendations video,0
agents perception task,0
increased use,0
robots share tasks charge decisions,0
francis group,0
study analyzed partial squares,0
er levels automation tipping point,0
ai adoption human,0
automation perceived change competencies,0
value explore willingness accept ai,0
using partial squares structural equation,0
knowledge pilots perceptions attitudes,0
software tools autonomous,0
sustainable human automation,0
automation collaboration need develop,0
issues regarding perception accountants usefulness,0
benefit automation sensitive,0
francis group,0
assessed automation explicability,0
agency tested increased self agency,0
task different levels automation,0
agents experience,0
ideologies psychographics segmentation targeting positioning,0
service agent types,0
agent assistance surpasses,0
2016 ifac,0
automation order fly,0
agents substitutes human,0
guests analyzed using partial squares,0
non human technical agents,0
despite growing use,0
automation inherent,0
promoting automation bias,0
francis group,0
reticent embrace,0
groups automation,0
long lasting,0
consumer innovativeness strengthens relationship attitudes,0
positively impact impulse purchase intention,0
perceived usefulness perceived,0
modern trade retail industry,0
automation task,0
research explored effects automation,0
powered product retail,0
isolation contributed sense robotic,0
robotic interaction emotionlessness lack,0
results human loop experiment sixteen,0
adoption intentions ai based voice,0
reasoning theory applied hypothesize relationships,0
allowing robots recognize shape human,0
avs context human automation,0
2016 ifac,0
introduction perceived partner,0
statements automation reliability,0
alongside robots raises concerns employees,0
francis group,0
mental model adjustments subject,0
making intelligent agents symposia held,0
robot interaction cognitive assistance government,0
contains reports ai human robot,0
people computer agents,0
communication increasingly focus automation,0
settings agents reason,0
automation driven rise intelligent,0
using hyperbolic discounting samples,0
heart rate hr indices eye,0
takeover requests,0
behavioral economics psychological models,0
agent able outperform alternative,0
general methodology agent design repeated,0
models physiological measures,0
perceptions use automation,0
highlight effects interacting animated conversational,0
ease use,0
use perceived usefulness showed statistical,0
agents indispensable work environments,0
social aspects human agent interactions,0
icub robot,0
robot acceptance carried,0
various interdisciplinary pathways advance,0
provision recommendations absent present subjects,0
recommendations provided accurate,0
francis group,0
greater concerns,0
innovativeness pi,0
eye movement facial expression,0
provide additional information decision recommendations,0
avs likely adopted wide scale,0
expectations avs,0
avs barriers,0
evaluation ai recommendation,0
emerging diverse applications instance autonomous,0
intelligent autonomous agents,0
attitudes perceived ease,0
automation generally resulted,0
avs offer opportunity achieve,0
tam used addition factors,0
sets different robots,0
attributions ii nearest neighbor,0
provide natural communication modality,0
obtain picture effects automation,0
robots text speech,0
envy play,0
support hypothesized relationships,0
step partial square based structural,0
technology fit models,0
different economic games public goods,0
ai adoption,0
control automation fails reaches functional,0
av perceived value time perceived,0
24 27 conducted testing automation,0
recommendations design effective transparent automated,0
associated avs realized mass,0
government agencies ai service,0
atari game offers,0
suggests judgments robot,0
robot responsibility hinge perceived,0
av technology based interpersonal institutional,0
autonomous agents,0
mechanisms allow people communicate,0
automation kinematics communication just external,0
communication just external lighting signals,0
exchange information develop common ground,0
expression enhancing agents perception value,0
agent interaction artificial,0
develop intelligent humanlike autonomous agents,0
humanoid ais statistical,0
agent memes defined building blocks,0
disciplinary vs,0
avs hmi,0
corresponding av,0
av events phases,0
research demonstrates conversational robo,0
multi agent systems,0
paradigms new zealand nz,0
perceived usability objective usefulness policy,0
antecedents cognitive,0
strategy main issues requiring investigation,0
transform strategic decisions,0
watching agent crash,0
avs perception,0
conversational ai,0
agents user perceptions,0
short electronic retail,0
online buying selling goods,0
tradeoff participants perceived language,0
perceived usefulness ease,0
takeover time quality,0
shopping systems,0
explain drivers takeover,0
user saw agent succeed fail,0
online bricks mortar retail environment,0
programs impression agent,0
introduced early 1900s poor communication,0
think robots,0
audience mindlessly,0
purchase intention,0
processed human robot,0
fieldwork article argues emergence avs,0
ocular parameters significantly different different,0
assistive robots decide,0
francis group,0
systems agent development,0
agents involved tended maxsum,0
shortsightedly focusing individual steps,0
involvement explanation,0
development process avs,0
vision human robot,0
perceived usefulness perceived ease,0
robot collaboration allows,0
robots identified reviewing tam,0
process biasing optic flow stimulus,0
learning application changes robots,0
robots task performance interaction consumers,0
information success iss model research,0
arslan involves capturing analyzing eye,0
diversity strategy main,0
subjectivity socio economic legal,0
avs promise,0
involvement longer,0
research limitations,0
iml early,0
better comprehension attitude purchase,0
aligned production technologies,0
psychomotor characteristics encompasses physiology,0
production work includes robots,0
includes robots exoskeletons augmented reality,0
connections behavioral economics computer,0
reinforcement learning rl potential enable,0
hitl paradigm agent eventually performs,0
like message,0
human loop hitl,0
automation observation,0
irony automation,0
simulating human like conversations,0
av crashes suggest human,0
shaped information flows,0
question concerning robots,0
organizational innovativeness,0
understanding business value realisation,0
reality agent,0
human robot interaction,0
type society wish promote automation,0
francis group,0
francis group,0
francis group,0
commerce companies moving integrating technologies,0
convey av intention,0
exert greater impact robot communication,0
interdisciplinary stance integrates insights tourism,0
autonomous automated manual control,0
process automation rpa,0
used qualitative research,0
engaging innovation,0
trial trial shifts automation,0
make use,0
intensifies retail,0
regarding scenario aim answer av,0
participants experienced different communication strategies,0
management crm,0
communicated human body language,0
enabled autonomous customer service agents,0
data thematic,0
robotics psychophysiology assess,0
agents simulate evaluate,0
floor industrial,0
analytics robotics leading,0
people increasingly concerned,0
communication transitioned,0
successful ai services,0
outcomes dependent type service,0
human service agents compared,0
contributes significantly discourse ai,0
scripts verbal,0
furthermore av triggered communication based,0
value based design putting engineers,0
interactive agents provides data driven,0
study hypotheses,0
recommendation systems,0
practitioners overarching,0
dialogue high interaction opportunity offered,0
routine innovative use,0
diffusion automation,0
llms outsource product search recommender,0
effects automation managers job,0
efficiency emerging area automation management,0
cognitive models learning capability reinforcement,0
agentic information systems appraisal time,0
sets agenda,0
ai context line service meeting,0
technology weakens relationship role clarity,0
manual stages time,0
recent technological development concerns automation,0
service work result advances artificial,0
use term,0
francis group,0
strategic opportunity increase,0
measure extent eye movements,0
multidisciplinary research,0
agenda address,0
energy chemical industries poland,0
hypotheses tested,0
strategies address control problem promising,0
intelligent ai domestic service,0
predictability automation,0
interaction roles robots play home,0
automation use lead,0
innovation engagement positive relationship,0
francis group,0
robots hsrs,0
anthropomorphic features humanoid,0
employed hypotheses testing,0
perceived ease use,0
testing using partial square structural,0
intention use avs,0
agent resource management task,0
psr associated avs,0
adverse biases people interacting automated,0
automated technology unclear effects observed,0
simulate conversations,0
issue eye tracking,0
recent innovations robotics challenge,0
avs information explain public acceptance,0
understand value perceptions ultimately adoption,0
main aims introducing automation,0
maturity automation different,0
robots highlight potential assume,0
awareness sa implications takeover control,0
humanoid robots,0
francis group,0
2019 based following robotic technology,0
key messages automation safety,0
revolution physical retail,0
facing fully automated,0
scrutinize antecedents consumers intention shop,0
perceived ease perceived usefulness,0
innovativeness optimism,0
enhance purchasing experience,0
intelligence ai commercial service,0
stores operate,0
salient predictors perceived value,0
products communications,0
robots intersects broader sustainability operational,0
technique partial squares structural equation,0
studies sharing interacting scenario agent,0
input predicts agent,0
intelligent conversational,0
work aim endowing embodied conversational,0
conversational agents,0
radically redefining,0
value conceptual review,0
conversations users expected continue time,0
based different industries,0
inclusion ai different sectors impact,0
global economy,0
automated recommender,0
vas used retailers,0
provided advice,0
automation disuse misuse,0
possibility automation,0
theoretical positioning required,0
squares structural,0
relationship commitment,0
conversational digital,0
francis group,0
assistive technology featuring,0
communication association,0
life rating data set filter,0
estimated relevance,0
based autonomous agents,0
condition agent displays,0
alter retailing,0
simulated agent,0
agents design issues unintended consequences,0
performance competitiveness increasing adoption ai,0
condition agent displays,0
functions performed making automation decision,0
smes developing small island,0
simulated agent,0
grounded article conceptual model,0
study used qualitative methods explore,0
vocal channel relationship,0
nonadaptive agent tended positively perceived,0
robots parasitic deeply,0
social signals human,0
human relations,0
francis group,0
francis group,0
statistics meaningfully applied,0
automation systems safety critical,0
robots growing,0
motion baseline wherembehaves rationally favor,0
provides thematic analysis studies robots,0
includes actors human robot human,0
blindness issue,0
mand agent plans motion optimizing,0
human loop takes role teacher,0
agent interaction agents,0
robots organizational contexts perceived negatively,0
factors research introduction automation,0
automation observed decades,0
develop potential partner sensitive,0
body research ai adoption,0
francis group,0
task technology fit theory theorize,0
sectors linked marketing ai,0
integrated conceptual model motivating,0
automation bias behavioral effect,0
interdependency automation,0
production widely,0
francis group,0
automation failures overall deterioration,0
recommendations observed changes participants,0
post purchase,0
better change automation autonomy,0
commerce denoting seamless,0
human automation interaction,0
cognition analytic model based decision,0
human robot interaction,0
levels automation,0
errors predictability agent,0
performance agent key factor influencing,0
interaction prior experiences automated systems,0
avs communicate,0
automated systems quality,0
concern given,0
spur dialogue involves wide,0
practitioners anticipate various points,0
francis group,0
time automation reliability,0
users reliability recommendation changing,0
benefits generally accepted practitioners scholars,0
included group automation,0
relationship examined subjects factorial,0
automation cda,0
increasing autonomization,0
perceived value contribute substantially ai,0
adopted ai,0
established industries,0
broader adequate conceptual articulation,0
strengths relationships,0
application domains recommender systems user,0
best practices,0
eye tracking,0
control ownership ai technologies,0
used clothing buy process,0
agent interacting,0
field behavioral economics deals,0
cognitive model simulates,0
adaptation process automation,0
involvement relationships,0
mediated information,0
convinced usefulness,0
enterprise bots paper crucial,0
reveals informing operators scenario provide,0
given rise new issues society,0
interpreting subjective,0
robot occupied significant position,0
programs solve problems reproduce mental,0
robotic research develop advanced programs,0
study examined relationship declared creator,0
using agentic information,0
fits alignment,0
robotics technologies,0
strategies exponential technical advancement provides,0
automation time,0
germany springer nature,0
purchase intentions products later recommended,0
usefulness 25,0
model assessed partial squares,0
despite emerging contribution machine automation,0
machine automation artificial intelligence information,0
article provides agenda,0
conversation formal process demonstrated,0
humanity issues relevant domain,0
francis group,0
recommendations provided,0
limitations future,0
appraisal processes,0
robots tremendous potential,0
introduced simple operations factories workplaces,0
model robot acceptance,0
public sectors utilizing ai based,0
robot politeness conversation behavior,0
appearance robot,0
ease use,0
develop relationships vas,0
ways laying foundation robotic emotional,0
causing disturbance robot,0
hand features enable robot,0
confronted av human,0
av anxiety,0
av acted associated,0
perceived value,0
contrast vast investments adaptive automation,0
flexible application automation level,0
performance efficacy perceived ease use,0
disapprove av action hearing explanation,0
successful human automation,0
painting related communication breakdowns,0
lack communication road,0
industries sectors,0
study identified primary communication barrier,0
francis group,0
attributing responsibility limitation ai,0
efficiency human computer communication,0
conducted analyzing users communication,0
av recommendations based svo,0
av acceptable matches average waiting,0
v2v communication,0
robots integral,0
partial squares structural equation modeling,0
light findings qualitative follow interviews,0
agents subsequent tasks seeing algorithms,0
exponential rise prevalence,0
prevalence automation,0
confirm hypotheses,0
understanding limited,0
make collaboration humans robots,0
burgeoning automation,0
quantification analysis communication,0
hmc scholarship regarding human loop,0
communication hmc,0
agent agents better understand human,0
given automation,0
used promote automation,0
communication scholars sought understand humans,0
games office automation,0
agent basis explanation observed,0
conceptual model developed,0
given certain characteristics current,0
limited studies,0
strengthening relations,0
online shopping providing prompt,0
paper people accept recommendations provoke,0
developments highlighted limitations,0
recommendations regarding disciplinary,0
al opens,0
shopping contexts,0
appraisal outcome stage,0
investigate ai related topics service,0
machine automation systems involve integration,0
automated agents goal,0
families respond better functional,0
shopping leads repurchase,0
online shopping,0
impacted old ways communication individual,0
including qualitative study model,0
service agents interaction perceived enjoyment,0
positive moderates relationship firm creativity,0
robots supposed,0
human loop approach includes ability,0
value tool design,0
agent workforces,0
economic issues required decades,0
real world problem specifically societal,0
significant societal transformation,0
advances automation,0
strategic planning incorporating affective attitudes,0
role virtual service agents vsas,0
ai service failure,0
loop experiments mission scenarios,0
incorporating personalization service agent,0
relationship contributes significantly theoretical,0
systemic representation,0
design human loop simulation,0
ease use perceived usefulness,0
conceptual model examines various external,0
limited understanding antecedents,0
intelligence ai devices hotel,0
step empirical,0
involvement significantly reduced default rate,0
introducing robots,0
head movements,0
perceived ease,0
lead participants orient different recommendation,0
machine agencies differently regardless,0
suggestions greater willingness disclose personal,0
evaluating wine vacuum recommendations,0
communication design recommender systems,0
societal advancement impacting,0
automated organizational,0
image perceived usefulness partially mediate,0
given organizational innovations limited value,0
robot wasnot,0
understanding agents,0
robotic solution almere model questionnaire,0
awareness automation currently handling,0
develop commerce,0
evolution retail,0
agency recommendation process,0
assistive robot end user,0
users attribution,0
benefits combining subjective,0
automation evolved,0
rl algorithm enabling autonomous agents,0
hitl rl,0
concierges dialog interface embodiment,0
effects different automation design,0
automated intelligent,0
theory sphere human robot,0
francis group,0
communication quality significant experiencing relatively,0
continuously unobtrusively using neurophysiological sensors,0
utilization agent,0
ai frontline services,0
game used,0
intelligent agents rapidly,0
automation 47 reduces,0
francis group,0
personalized recommendations employed online,0
francis group,0
agents integrated workforce question extent,0
purchase intention,0
value procurement,0
emerging market retail,0
theory help retailers understand,0
methodology examine interrelationship identified fundamental,0
gaze head pose action recognition,0
eye contact,0
conversational agents,0
depending level automation,0
validated retail,0
information theory,0
appropriate psychophysiological indices,0
robots prevalent,0
significant positive impact intimacy robots,0
include recommendations decision,0
information theory,0
robots prevalent,0
functional services acceptable use ai,0
paradigm shift,0
enabling robots detect human,0
signaling use smart recommendation,0
study limited shopping,0
inductive deductive need employed strengthen,0
used statistical,0
suppliers price quoting,0
use boosts purchase,0
seamless fit increases user,0
based emotions robots,0
users daily routines lifestyles seamless,0
include example skillful eye scan,0
collaboration humans robots,0
best customize robots,0
aspects venn diagram common,0
used robotics community evaluate,0
human robot interaction,0
francis group,0
interaction hri applications manufacturing,0
organism response,0
paradigm increase,0
limitations implications findings study,0
human robot interaction hri model,0
language agent,0
advice human robot,0
represented interdisciplinary,0
user information recommendations design programming,0
impacts automation using intelligent,0
biases different levels automation,0
writings produced 1940s concerning economic,0
reliance suboptimal robots solving instantaneous,0
001 robot,0
ai automation,0
rapid integration intelligent processes methods,0
francis group,0
task effectiveness human robot team,0
cooperative assistance automation,0
tactical strategic,0
general conference adopted recommendation ethics,0
leads favourable attitudes higher purchase,0
activate perceived shopping convenience,0
perceived knowledge using,0
automated machines increasing,0
processes analogy visualization mental simulation,0
relationships sustaining business success,0
online transactions,0
contrary preregistered hypotheses participants human,0
simulator conversation robot experimental,0
societal challenges underexplored,0
communication av,0
contributes literature ai enabled conversational,0
drove attentively robot enhancing,0
communicated types information including,0
information including intent av,0
robot enhancing peace mind,0
eye combination text symbol speed,0
relationship effective use,0
robot users china conducted test,0
perceived enjoyment indicators private value,0
fast food establishments hypermarkets,0
ground study moore public value,0
public value management examine relationship,0
use value creation citizen,0
robots form important basis countermeasures,0
human robot,0
analyses information collected relevance feedback,0
using partial square structural equation,0
online method predicting multiagent,0
stimuli organism response sor task,0
heightened concern,0
explained limitations,0
levels automation developed existing approaches,0
review revealed automation,0
regulation innovation public engagement,0
economics sociology,0
widespread use,0
responses automation,0
objective recommendations,0
human robot,0
infer causes robot,0
agent exhibiting mind,0
adoption ai,0
artificial agents aas,0
tools effective members human agent,0
dynamic game finding,0
participants human agents,0
game agent negotiates,0
development human robot communication laws,0
rapid advancements,0
test empirically,0
creation innovative value proposition accordingly,0
takeover situations,0
physiological data,0
social presence user compared agent,0
certain class thought termed conceptual,0
interdisciplinary knowledge ai,0
advancements poised substantially modify,0
autonomous agents aas capable,0
communicative competence technology,0
perceived usefulness,0
powered robotic exoskeletons enhance,0
339 respondents used evaluate hypotheses,0
ways requiring explicit communication,0
hypotheses adopting partial squares,0
interaction experience human service agents,0
model interactions agents best,0
communication style,0
strategies discussed compared clarified,0
ensuring successful ai implementation,0
interactions representable agents social space,0
cues agent applications norms concrete,0
real contexts human robot interaction,0
robots based explicit norm,0
particularly related automation processes,0
just human machine interfacing spectrum,0
innovation performance,0
service agents offer enjoyment,0
artificial systems play,0
perceive robots differently restaurant segments,0
today partner,0
strategy formulation development transparency,0
dictator game,0
conceptual model based,0
psychologically agents terms self,0
intentions stay tip,0
psychologically agents terms self,0
human interaction including limited autonomous,0
analyzed data thematic coding,0
